見出し,見出し（説明）,分類,分類（説明）,日時,場所,対象,定員,費用,申込,問い合わせ,申込・問い合わせ,案内配布,受験資格,願書配布,URL1,URL2,Eメール1,Eメール2
視覚障害者対象パソコン講習会,,,,6月25日、7月30日、8月27日 いずれも木曜9:30?15:30,和歌山ビッグ愛（和歌山市）,,各5人（先着順）,,,,電話、ファックス、Eメールで住所、氏名、電話（ファックス）番号を6月18日までに県点字図書館                          〒640-8319和歌山市手平2-1-2和歌山ビッグ愛5階     電話073-488-5721　ファックス073-488-5731                   Eメール　wakaten@wakaten.jp和歌山県点字図書館のぺージへリンク,,,,,,,
身体障害者補助犬（盲導犬・介助犬・聴導犬）給付希望者,,,,,,視覚障害1級、肢体障害1級または聴覚障害2級以上の身体障害者手帳を所持し、所定の要件（補助犬の管理が可能など）をすべて満たす方,1人（選考）,,郵送・持参で所定の申込書（申込先、問合先で配布）を7月31日までに市町村,県庁障害福祉課                                                          県ウェブサイトでも掲載 ,,,,,,,,
7?9月開始の職業訓練受講生,就職に有利な専門知識や技能を習得,(1)OA事務・Web科,,,和歌山市,,,,,,ハローワーク（申込締切日あり）※詳しくはウェブサイトを要確認,,,,,,,
7?9月開始の職業訓練受講生,就職に有利な専門知識や技能を習得,(2)CAD・生産サポート技術科,,,和歌山市,,,,,,ハローワーク（申込締切日あり）                                ※詳しくはウェブサイトを要確認                                 和歌山労働局　職業訓練のぺージへリンク,,,,,,,
7?9月開始の職業訓練受講生,就職に有利な専門知識や技能を習得,(3)パソコン事務基礎科（母子家庭の母など対象）,,,和歌山市,,,,,,ハローワーク（申込締切日あり）                                ※詳しくはウェブサイトを要確認                                 和歌山労働局　職業訓練のぺージへリンク,,,,,,,
7?9月開始の職業訓練受講生,就職に有利な専門知識や技能を習得,(4)パソコン応用科,,,和歌山市,,,,,,ハローワーク（申込締切日あり）                                ※詳しくはウェブサイトを要確認                                 和歌山労働局　職業訓練のぺージへリンク,,,,,,,
7?9月開始の職業訓練受講生,就職に有利な専門知識や技能を習得,(5)パソコン・建設技能習得科,,,和歌山市,,,,,,ハローワーク（申込締切日あり）                                                              和歌山労働局　職業訓練のぺージへリンク,,,,,,,
7?9月開始の職業訓練受講生,就職に有利な専門知識や技能を習得,(6)介護初級科,,,和歌山市,,,,,,ハローワーク（申込締切日あり）　                                ※詳しくはウェブサイトを要確認                                 和歌山労働局　職業訓練のぺージへリンク,,,,,,,
7?9月開始の職業訓練受講生,就職に有利な専門知識や技能を習得,(7)パソコン・総務経理事務科,,,橋本市,,,,,,ハローワーク（申込締切日あり）                                ※詳しくはウェブサイトを要確認                                和歌山労働局　職業訓練のぺージへリンク,,,,,,,
7?9月開始の職業訓練受講生,就職に有利な専門知識や技能を習得,(8)介護初級科,,,田辺市,,,,,,ハローワーク（申込締切日あり）                               ※詳しくはウェブサイトを要確認                                 和歌山労働局　職業訓練のぺージへリンク ,,,,,,,
7?9月開始の職業訓練受講生,就職に有利な専門知識や技能を習得,(9)パソコン・総務経理実習科,,,田辺市,,,,,,ハローワーク（申込締切日あり）                               ※詳しくはウェブサイトを要確認                                和歌山労働局　職業訓練のぺージへリンク,,,,,,,
7?9月開始の職業訓練受講生,就職に有利な専門知識や技能を習得,(10)実務作業科（障害者対象）,,,田辺市,,,,,,ハローワーク（申込締切日あり）                               ※詳しくはウェブサイトを要確認                               和歌山労働局　職業訓練のぺージへリンク,,,,,,,
7?9月開始の職業訓練受講生,就職に有利な専門知識や技能を習得,(11)OA事務初級科（障害者対象）,,,串本町,,,,,,ハローワーク（申込締切日あり）                                ※詳しくはウェブサイトを要確認                                 和歌山労働局　職業訓練のぺージへリンク,,,,,,,
7?9月開始の職業訓練受講生,就職に有利な専門知識や技能を習得,(12)パソコン・簿記事務科,,,新宮市,,,,,,ハローワーク（申込締切日あり）                                ※詳しくはウェブサイトを要確認                                 和歌山労働局　職業訓練のぺージへリンク,,,,,,,
身体障害者パソコンボランティア養成講座,外出困難な在宅の身体障害者に、自宅などでパソコン操作を支援するボランティアを養成・派遣,ボランティア養成講座,,6月20日（土）・21日（日）いずれも9:30?15:30,和歌山ビッグ愛（和歌山市）,,5人（先着順）,,,,(1)電話、ファックス、Eメール(2)郵送、電話、ファックス、Eメールで住所、氏名、年齢、、電話（ファックス）番号を(1)6月16日までに県点字図書館                  〒640-8319和歌山市手平2-1-2電話073-488-5721　ファックス073-488-5731Eメール　wakaten@wakaten.jp,,,,,,,
身体障害者パソコンボランティア養成講座,外出困難な在宅の身体障害者に、自宅などでパソコン操作を支援するボランティアを養成・派遣,ボランティア派遣,,随時,身体障害者の自宅など,外出困難な在宅の重度身体障害者,,,,,(1)電話、ファックス、Eメール(2)郵送、電話、ファックス、Eメールで住所、氏名、年齢、性別、電話（ファックス）番号を(1)6月16日までに県点字図書館                  〒640-8319和歌山市手平2-1-2電話073-488-5721　ファックス073-488-5731Eメール　wakaten@wakaten.jp,,,,,,,
県認定リサイクル製品募集,廃棄物の減量化・リサイクルの推進に役立つ製品を県が認定,,,,,,,,,,郵送、持参で所定の申請書（ウェブサイトで配布）と必要書類を7月31日までに県庁循環型社会推進課　　　　　　　　　県ウェブサイトでも掲載　　,,,,,,,
